,home_team,away_team,home_score,away_score,home_penalty,away_penalty,total_goals,Winner,Stage,Year,Date,Host,Venue,Attendance,h_red_card_count,a_red_card_count,h_yellow_red_card_count,a_yellow_red_card_count,h_yellow_card_long_count,a_yellow_card_long_count
89,Denmark,France,0,0,,,0,Draw,Fase de Grupos,2018,2018-06-26,Russia,"Olimpiyskiy stadion Luzhniki, Moskva",78011,0,0,0,0,1,0
90,Iceland,Croatia,1,2,,,3,Croatia,Fase de Grupos,2018,2018-06-26,Russia,"Rostov Arena, Rostov-na-Donu",43472,0,0,0,0,3,2
91,Nigeria,Argentina,1,2,,,3,Argentina,Fase de Grupos,2018,2018-06-26,Russia,"Gazprom Arena, Sankt-Petersburg",64468,0,0,0,0,2,3
92,Saudi Arabia,Egypt,2,1,,,3,Saudi Arabia,Fase de Grupos,2018,2018-06-25,Russia,"Volgograd Arena, Volgograd",36823,0,0,0,0,0,2
93,Uruguay,Russia,3,0,,,3,Uruguay,Fase de Grupos,2018,2018-06-25,Russia,"Cosmos Arena, Samara",41970,0,0,0,1,1,2
94,Spain,Morocco,2,2,,,4,Draw,Fase de Grupos,2018,2018-06-25,Russia,"Kaliningrad Stadium, Kaliningrad",33973,0,0,0,0,0,6
95,IR Iran,Portugal,1,1,,,2,Draw,Fase de Grupos,2018,2018-06-25,Russia,"Mordovia Arena, Saransk",41685,0,0,0,0,2,4
96,England,Panama,6,1,,,7,England,Fase de Grupos,2018,2018-06-24,Russia,"Stadion Nizhny Novgorod, Nizhny Novgorod",43319,0,0,0,0,1,3
97,Japan,Senegal,2,2,,,4,Draw,Fase de Grupos,2018,2018-06-24,Russia,"Stadion Central'nyj, Yekaterinburg",32572,0,0,0,0,2,3
98,Poland,Colombia,0,3,,,3,Colombia,Fase de Grupos,2018,2018-06-24,Russia,"Kazan Arena, Kazan",42873,0,0,0,0,2,0
99,Belgium,Tunisia,5,2,,,7,Belgium,Fase de Grupos,2018,2018-06-23,Russia,"Otkrytie Arena, Moskva",44190,0,0,0,0,0,1
100,Korea Republic,Mexico,1,2,,,3,Mexico,Fase de Grupos,2018,2018-06-23,Russia,"Rostov Arena, Rostov-na-Donu",43472,0,0,0,0,4,0
101,Germany,Sweden,2,1,,,3,Germany,Fase de Grupos,2018,2018-06-23,Russia,"Olimpiyskiy Stadion Fisht, Sochi",44287,0,0,1,0,1,2
102,Brazil,Costa Rica,2,0,,,2,Brazil,Fase de Grupos,2018,2018-06-22,Russia,"Gazprom Arena, Sankt-Petersburg",64468,0,0,0,0,2,1
103,Nigeria,Iceland,2,0,,,2,Nigeria,Fase de Grupos,2018,2018-06-22,Russia,"Volgograd Arena, Volgograd",40904,0,0,0,0,1,0
104,Serbia,Switzerland,1,2,,,3,Switzerland,Fase de Grupos,2018,2018-06-22,Russia,"Kaliningrad Stadium, Kaliningrad",33167,0,0,0,0,4,1
105,Denmark,Australia,1,1,,,2,Draw,Fase de Grupos,2018,2018-06-21,Russia,"Cosmos Arena, Samara",40727,0,0,0,0,2,0
106,France,Peru,1,0,,,1,France,Fase de Grupos,2018,2018-06-21,Russia,"Stadion Central'nyj, Yekaterinburg",32789,0,0,0,0,2,2
107,Argentina,Croatia,0,3,,,3,Croatia,Fase de Grupos,2018,2018-06-21,Russia,"Stadion Nizhny Novgorod, Nizhny Novgorod",43319,0,0,0,0,3,4
108,Portugal,Morocco,1,0,,,1,Portugal,Fase de Grupos,2018,2018-06-20,Russia,"Olimpiyskiy stadion Luzhniki, Moskva",78011,0,0,0,0,1,1
109,Uruguay,Saudi Arabia,1,0,,,1,Uruguay,Fase de Grupos,2018,2018-06-20,Russia,"Rostov Arena, Rostov-na-Donu",42678,0,0,0,0,0,0
110,IR Iran,Spain,0,1,,,1,Spain,Fase de Grupos,2018,2018-06-20,Russia,"Kazan Arena, Kazan",42718,0,0,0,0,2,0
111,Colombia,Japan,1,2,,,3,Japan,Fase de Grupos,2018,2018-06-19,Russia,"Mordovia Arena, Saransk",40842,1,0,0,0,2,1
112,Poland,Senegal,1,2,,,3,Senegal,Fase de Grupos,2018,2018-06-19,Russia,"Otkrytie Arena, Moskva",44190,0,0,0,0,1,2
113,Russia,Egypt,3,1,,,4,Russia,Fase de Grupos,2018,2018-06-19,Russia,"Gazprom Arena, Sankt-Petersburg",64468,0,0,0,0,1,1
114,Sweden,Korea Republic,1,0,,,1,Sweden,Fase de Grupos,2018,2018-06-18,Russia,"Stadion Nizhny Novgorod, Nizhny Novgorod",42300,0,0,0,0,1,2
115,Belgium,Panama,3,0,,,3,Belgium,Fase de Grupos,2018,2018-06-18,Russia,"Olimpiyskiy Stadion Fisht, Sochi",43257,0,0,0,0,3,5
116,Tunisia,England,1,2,,,3,England,Fase de Grupos,2018,2018-06-18,Russia,"Volgograd Arena, Volgograd",41064,0,0,0,0,0,1
117,Costa Rica,Serbia,0,1,,,1,Serbia,Fase de Grupos,2018,2018-06-17,Russia,"Cosmos Arena, Samara",41432,0,0,0,0,2,2
118,Germany,Mexico,0,1,,,1,Mexico,Fase de Grupos,2018,2018-06-17,Russia,"Olimpiyskiy stadion Luzhniki, Moskva",78011,0,0,0,0,2,2
119,Brazil,Switzerland,1,1,,,2,Draw,Fase de Grupos,2018,2018-06-17,Russia,"Rostov Arena, Rostov-na-Donu",43109,0,0,0,0,1,3
