Team,titles,is_champion,cluster,pca1,pca2,champion_probability,team_profile,win_rate,avg_goals_scored,avg_goals_conceded,knockout_win_rate
Togo,0,0,3,-1.9183633816135288,-0.5160986900652164,0.515,Strong Nations,0.0,0.3333333333333333,2.0,0.0
Trinidad and Tobago,0,0,3,-1.9919030151721282,-1.2633952072041779,0.399,Strong Nations,0.0,0.0,1.3333333333333333,0.0
Tunisia,0,0,3,-0.7754003142416763,-0.7949090462622475,0.596,Strong Nations,0.16666666666666666,0.7777777777777778,1.4444444444444444,0.0
Türkiye,0,0,0,2.8666302369303542,1.1525482236229934,0.703,World Cup Champions,0.5,2.0,1.7,0.75
Ukraine,0,0,1,1.7539909217166547,0.2066721656696751,0.403,Elite Contenders,0.6,1.0,1.4,0.5
United Arab Emirates,0,0,2,-2.2346255172778675,1.1765778541950789,0.416,Emerging Teams,0.0,0.6666666666666666,3.6666666666666665,0.0
United States,0,0,3,-0.12367033323162223,-0.14342738998521246,0.703,Strong Nations,0.24324324324324326,1.0810810810810811,1.7837837837837838,0.125
Uruguay,2,1,1,1.6151214895116919,0.03072356412863193,0.932,Elite Contenders,0.4406779661016949,1.5084745762711864,1.2881355932203389,0.3888888888888889
Wales,0,0,3,-0.97288309297373,-1.0549635286356933,0.563,Strong Nations,0.125,0.625,1.25,0.0
Zaire,0,0,2,-3.2912422459152535,1.8878715498669352,0.251,Emerging Teams,0.0,0.0,4.666666666666667,0.0
